Date,Relative Humidity (%),District
2000-09-02,15.06,JRASULOV
2000-09-03,11.88,JRASULOV
2000-09-04,11.75,JRASULOV
2000-09-05,15.0,JRASULOV
2000-09-06,17.62,JRASULOV
2000-09-07,19.88,JRASULOV
2000-09-08,22.88,JRASULOV
2000-09-09,18.19,JRASULOV
2000-09-10,12.06,JRASULOV
2000-09-11,12.81,JRASULOV
2000-09-12,18.62,JRASULOV
2000-09-13,18.44,JRASULOV
2000-09-14,16.19,JRASULOV
2000-09-15,21.62,JRASULOV
2000-09-16,22.31,JRASULOV
2000-09-17,20.19,JRASULOV
2000-09-18,17.06,JRASULOV
2000-09-19,27.44,JRASULOV
2000-09-20,32.44,JRASULOV
2000-09-21,29.5,JRASULOV
2000-09-22,25.38,JRASULOV
2000-09-23,17.31,JRASULOV
2000-09-24,19.56,JRASULOV
2000-09-25,54.06,JRASULOV
2000-09-26,48.62,JRASULOV
2000-09-27,24.06,JRASULOV
2000-09-28,15.75,JRASULOV
2000-09-29,38.44,JRASULOV
2000-09-30,42.5,JRASULOV
2000-10-01,37.56,JRASULOV
2000-10-02,42.94,JRASULOV
2000-10-03,65.75,JRASULOV
2000-10-04,69.94,JRASULOV
2000-10-05,77.62,JRASULOV
2000-10-06,62.38,JRASULOV
2000-10-07,63.12,JRASULOV
2000-10-08,51.19,JRASULOV
2000-10-09,42.81,JRASULOV
2000-10-10,32.75,JRASULOV
2000-10-11,26.81,JRASULOV
2000-10-12,24.94,JRASULOV
2000-10-13,31.19,JRASULOV
2000-10-14,51.12,JRASULOV
2000-10-15,76.38,JRASULOV
2000-10-16,67.12,JRASULOV
2000-10-17,38.62,JRASULOV
2000-10-18,39.5,JRASULOV
2000-10-19,63.0,JRASULOV
2000-10-20,53.69,JRASULOV
2000-10-21,70.0,JRASULOV
2000-10-22,61.38,JRASULOV
2000-10-23,50.19,JRASULOV
2000-10-24,64.38,JRASULOV
2000-10-25,59.12,JRASULOV
2000-10-26,51.12,JRASULOV
2000-10-27,34.12,JRASULOV
2000-10-28,32.38,JRASULOV
2000-10-29,33.12,JRASULOV
2000-10-30,45.62,JRASULOV
2000-10-31,52.19,JRASULOV
2000-11-01,56.12,JRASULOV
2000-11-02,48.12,JRASULOV
2000-11-03,39.88,JRASULOV
2000-11-04,55.38,JRASULOV
2000-11-05,59.94,JRASULOV
2000-11-06,59.12,JRASULOV
2000-11-07,80.81,JRASULOV
2000-11-08,87.44,JRASULOV
2000-11-09,54.56,JRASULOV
2000-11-10,45.75,JRASULOV
2000-11-11,74.25,JRASULOV
2000-11-12,87.31,JRASULOV
2000-11-13,50.19,JRASULOV
2000-11-14,34.19,JRASULOV
2000-11-15,67.88,JRASULOV
2000-11-16,82.75,JRASULOV
2000-11-17,85.62,JRASULOV
2000-11-18,49.5,JRASULOV
2000-11-19,44.38,JRASULOV
2000-11-20,42.06,JRASULOV
2000-11-21,40.0,JRASULOV
2000-11-22,48.06,JRASULOV
2000-11-23,61.31,JRASULOV
2000-11-24,56.31,JRASULOV
2000-11-25,47.25,JRASULOV
2000-11-26,41.69,JRASULOV
2000-11-27,41.44,JRASULOV
2000-11-28,43.31,JRASULOV
2000-11-29,75.25,JRASULOV
2000-11-30,60.75,JRASULOV
2000-12-01,29.12,JRASULOV
2000-12-02,73.88,JRASULOV
2000-12-03,78.5,JRASULOV
2000-12-04,81.31,JRASULOV
2000-12-05,69.81,JRASULOV
2000-12-06,45.19,JRASULOV
2000-12-07,50.69,JRASULOV
2000-12-08,48.56,JRASULOV
2000-12-09,68.19,JRASULOV
2000-12-10,81.12,JRASULOV
2000-12-11,40.06,JRASULOV
2000-12-12,41.06,JRASULOV
2000-12-13,66.12,JRASULOV
2000-12-14,69.81,JRASULOV
2000-12-15,52.0,JRASULOV
2000-12-16,62.31,JRASULOV
2000-12-17,91.62,JRASULOV
2000-12-18,44.75,JRASULOV
2000-12-19,29.38,JRASULOV
2000-12-20,31.25,JRASULOV
2000-12-21,35.38,JRASULOV
2000-12-22,36.75,JRASULOV
2000-12-23,47.31,JRASULOV
2000-12-24,55.0,JRASULOV
2000-12-25,52.06,JRASULOV
2000-12-26,52.38,JRASULOV
2000-12-27,80.19,JRASULOV
2000-12-28,88.12,JRASULOV
2000-12-29,75.0,JRASULOV
2000-12-30,52.5,JRASULOV
2000-12-31,39.81,JRASULOV
2001-01-01,31.38,JRASULOV
2001-01-02,38.5,JRASULOV
2001-01-03,59.75,JRASULOV
2001-01-04,44.38,JRASULOV
2001-01-05,43.44,JRASULOV
2001-01-06,52.69,JRASULOV
2001-01-07,50.31,JRASULOV
2001-01-08,45.88,JRASULOV
2001-01-09,50.25,JRASULOV
2001-01-10,59.69,JRASULOV
2001-01-11,34.06,JRASULOV
2001-01-12,28.25,JRASULOV
2001-01-13,35.69,JRASULOV
2001-01-14,43.62,JRASULOV
2001-01-15,47.88,JRASULOV
2001-01-16,87.44,JRASULOV
2001-01-17,51.5,JRASULOV
2001-01-18,39.0,JRASULOV
2001-01-19,56.62,JRASULOV
2001-01-20,74.06,JRASULOV
2001-01-21,84.12,JRASULOV
2001-01-22,83.12,JRASULOV
2001-01-23,53.12,JRASULOV
2001-01-24,61.81,JRASULOV
2001-01-25,59.25,JRASULOV
2001-01-26,65.0,JRASULOV
2001-01-27,63.31,JRASULOV
2001-01-28,62.31,JRASULOV
2001-01-29,88.25,JRASULOV
2001-01-30,84.62,JRASULOV
2001-01-31,71.0,JRASULOV
2001-02-01,54.56,JRASULOV
2001-02-02,40.56,JRASULOV
2001-02-03,36.25,JRASULOV
2001-02-04,48.31,JRASULOV
2001-02-05,58.06,JRASULOV
2001-02-06,83.06,JRASULOV
2001-02-07,59.56,JRASULOV
2001-02-08,48.88,JRASULOV
2001-02-09,63.0,JRASULOV
2001-02-10,80.25,JRASULOV
2001-02-11,56.44,JRASULOV
2001-02-12,40.44,JRASULOV
2001-02-13,41.12,JRASULOV
2001-02-14,39.56,JRASULOV
2001-02-15,36.44,JRASULOV
2001-02-16,74.38,JRASULOV
2001-02-17,69.94,JRASULOV
2001-02-18,54.81,JRASULOV
2001-02-19,63.94,JRASULOV
2001-02-20,75.5,JRASULOV
2001-02-21,41.19,JRASULOV
2001-02-22,72.44,JRASULOV
2001-02-23,64.94,JRASULOV
2001-02-24,42.25,JRASULOV
2001-02-25,41.88,JRASULOV
2001-02-26,37.69,JRASULOV
2001-02-27,30.12,JRASULOV
2001-02-28,37.75,JRASULOV
2001-03-01,34.31,JRASULOV
2001-03-02,45.94,JRASULOV
2001-03-03,35.38,JRASULOV
2001-03-04,27.75,JRASULOV
2001-03-05,62.56,JRASULOV
2001-03-06,71.69,JRASULOV
2001-03-07,44.25,JRASULOV
2001-03-08,39.25,JRASULOV
2001-03-09,37.19,JRASULOV
2001-03-10,54.44,JRASULOV
2001-03-11,80.5,JRASULOV
2001-03-12,88.0,JRASULOV
2001-03-13,82.25,JRASULOV
2001-03-14,56.56,JRASULOV
2001-03-15,39.62,JRASULOV
2001-03-16,31.69,JRASULOV
2001-03-17,34.62,JRASULOV
2001-03-18,46.12,JRASULOV
2001-03-19,87.25,JRASULOV
2001-03-20,46.06,JRASULOV
2001-03-21,34.69,JRASULOV
2001-03-22,35.5,JRASULOV
2001-03-23,37.0,JRASULOV
2001-03-24,34.5,JRASULOV
2001-03-25,39.0,JRASULOV
2001-03-26,36.38,JRASULOV
2001-03-27,60.94,JRASULOV
2001-03-28,86.44,JRASULOV
2001-03-29,70.88,JRASULOV
2001-03-30,52.69,JRASULOV
2001-03-31,51.0,JRASULOV
2001-04-01,64.25,JRASULOV
2001-04-02,58.81,JRASULOV
2001-04-03,35.31,JRASULOV
2001-04-04,31.88,JRASULOV
2001-04-05,56.19,JRASULOV
2001-04-06,49.12,JRASULOV
2001-04-07,50.38,JRASULOV
2001-04-08,42.38,JRASULOV
2001-04-09,35.75,JRASULOV
2001-04-10,41.31,JRASULOV
2001-04-11,42.88,JRASULOV
2001-04-12,44.56,JRASULOV
2001-04-13,39.25,JRASULOV
2001-04-14,41.94,JRASULOV
2001-04-15,50.31,JRASULOV
2001-04-16,44.56,JRASULOV
2001-04-17,53.0,JRASULOV
2001-04-18,47.56,JRASULOV
2001-04-19,56.44,JRASULOV
2001-04-20,47.62,JRASULOV
2001-04-21,42.0,JRASULOV
2001-04-22,38.62,JRASULOV
2001-04-23,61.88,JRASULOV
2001-04-24,55.0,JRASULOV
2001-04-25,41.75,JRASULOV
2001-04-26,43.56,JRASULOV
2001-04-27,41.56,JRASULOV
2001-04-28,32.5,JRASULOV
2001-04-29,33.44,JRASULOV
2001-04-30,29.44,JRASULOV
2001-05-01,38.25,JRASULOV
2001-05-02,42.31,JRASULOV
2001-05-03,35.81,JRASULOV
2001-05-04,31.62,JRASULOV
2001-05-05,28.75,JRASULOV
2001-05-06,29.06,JRASULOV
2001-05-07,27.31,JRASULOV
2001-05-08,28.81,JRASULOV
2001-05-09,24.81,JRASULOV
2001-05-10,17.62,JRASULOV
2001-05-11,23.12,JRASULOV
2001-05-12,19.88,JRASULOV
2001-05-13,24.94,JRASULOV
2001-05-14,21.25,JRASULOV
2001-05-15,19.38,JRASULOV
2001-05-16,13.75,JRASULOV
2001-05-17,9.75,JRASULOV
2001-05-18,21.06,JRASULOV
2001-05-19,38.06,JRASULOV
2001-05-20,27.06,JRASULOV
2001-05-21,21.31,JRASULOV
2001-05-22,18.56,JRASULOV
2001-05-23,16.75,JRASULOV
2001-05-24,19.38,JRASULOV
2001-05-25,23.0,JRASULOV
2001-05-26,21.81,JRASULOV
2001-05-27,24.62,JRASULOV
2001-05-28,28.56,JRASULOV
2001-05-29,28.31,JRASULOV
2001-05-30,21.5,JRASULOV
2001-05-31,15.69,JRASULOV
2001-06-01,18.31,JRASULOV
2001-06-02,30.06,JRASULOV
2001-06-03,22.19,JRASULOV
2001-06-04,15.75,JRASULOV
2001-06-05,12.75,JRASULOV
2001-06-06,15.31,JRASULOV
2001-06-07,14.0,JRASULOV
2001-06-08,11.0,JRASULOV
2001-06-09,8.56,JRASULOV
2001-06-10,10.88,JRASULOV
2001-06-11,26.81,JRASULOV
2001-06-12,26.25,JRASULOV
2001-06-13,21.38,JRASULOV
2001-06-14,23.5,JRASULOV
2001-06-15,27.44,JRASULOV
2001-06-16,23.88,JRASULOV
2001-06-17,22.12,JRASULOV
2001-06-18,19.75,JRASULOV
2001-06-19,16.12,JRASULOV
2001-06-20,15.44,JRASULOV
2001-06-21,31.81,JRASULOV
2001-06-22,26.81,JRASULOV
2001-06-23,18.12,JRASULOV
2001-06-24,15.31,JRASULOV
2001-06-25,13.19,JRASULOV
2001-06-26,10.25,JRASULOV
2001-06-27,10.06,JRASULOV
2001-06-28,15.69,JRASULOV
2001-06-29,14.44,JRASULOV
2001-06-30,11.56,JRASULOV
2001-07-01,25.19,JRASULOV
2001-07-02,29.31,JRASULOV
2001-07-03,26.56,JRASULOV
2001-07-04,23.56,JRASULOV
2001-07-05,21.94,JRASULOV
2001-07-06,16.44,JRASULOV
2001-07-07,14.69,JRASULOV
2001-07-08,17.81,JRASULOV
2001-07-09,16.69,JRASULOV
2001-07-10,11.69,JRASULOV
2001-07-11,10.94,JRASULOV
2001-07-12,15.31,JRASULOV
2001-07-13,17.44,JRASULOV
2001-07-14,15.56,JRASULOV
2001-07-15,17.62,JRASULOV
2001-07-16,16.0,JRASULOV
2001-07-17,18.62,JRASULOV
2001-07-18,21.06,JRASULOV
2001-07-19,26.88,JRASULOV
2001-07-20,40.44,JRASULOV
2001-07-21,34.69,JRASULOV
2001-07-22,27.75,JRASULOV
2001-07-23,27.56,JRASULOV
2001-07-24,30.69,JRASULOV
2001-07-25,25.38,JRASULOV
2001-07-26,21.69,JRASULOV
2001-07-27,22.12,JRASULOV
2001-07-28,27.56,JRASULOV
2001-07-29,30.06,JRASULOV
2001-07-30,28.62,JRASULOV
2001-07-31,20.75,JRASULOV
2001-08-01,17.06,JRASULOV
2001-08-02,15.81,JRASULOV
2001-08-03,16.94,JRASULOV
2001-08-04,18.69,JRASULOV
2001-08-05,17.56,JRASULOV
2001-08-06,22.31,JRASULOV
2001-08-07,16.69,JRASULOV
2001-08-08,20.0,JRASULOV
2001-08-09,21.81,JRASULOV
2001-08-10,16.19,JRASULOV
2001-08-11,17.25,JRASULOV
2001-08-12,24.25,JRASULOV
2001-08-13,29.38,JRASULOV
2001-08-14,42.62,JRASULOV
2001-08-15,45.81,JRASULOV
2001-08-16,46.19,JRASULOV
2001-08-17,32.56,JRASULOV
2001-08-18,31.88,JRASULOV
2001-08-19,33.12,JRASULOV
2001-08-20,26.44,JRASULOV
2001-08-21,20.06,JRASULOV
2001-08-22,17.88,JRASULOV
2001-08-23,18.94,JRASULOV
2001-08-24,23.06,JRASULOV
2001-08-25,25.06,JRASULOV
2001-08-26,37.25,JRASULOV
2001-08-27,33.88,JRASULOV
2001-08-28,37.12,JRASULOV
2001-08-29,35.81,JRASULOV
2001-08-30,31.06,JRASULOV
2001-08-31,25.56,JRASULOV
2001-09-01,19.06,JRASULOV
2001-09-02,23.25,JRASULOV
2001-09-03,29.69,JRASULOV
2001-09-04,29.0,JRASULOV
2001-09-05,22.25,JRASULOV
2001-09-06,18.5,JRASULOV
2001-09-07,25.69,JRASULOV
2001-09-08,21.75,JRASULOV
2001-09-09,20.44,JRASULOV
2001-09-10,19.94,JRASULOV
2001-09-11,19.12,JRASULOV
2001-09-12,23.0,JRASULOV
2001-09-13,28.44,JRASULOV
2001-09-14,25.88,JRASULOV
2001-09-15,18.69,JRASULOV
2001-09-16,16.38,JRASULOV
2001-09-17,18.62,JRASULOV
2001-09-18,20.81,JRASULOV
2001-09-19,30.06,JRASULOV
2001-09-20,28.12,JRASULOV
2001-09-21,26.06,JRASULOV
2001-09-22,22.19,JRASULOV
2001-09-23,21.94,JRASULOV
2001-09-24,18.0,JRASULOV
2001-09-25,17.81,JRASULOV
2001-09-26,22.94,JRASULOV
2001-09-27,18.44,JRASULOV
2001-09-28,17.69,JRASULOV
2001-09-29,28.31,JRASULOV
2001-09-30,21.19,JRASULOV
2001-10-01,17.25,JRASULOV
2001-10-02,30.62,JRASULOV
2001-10-03,37.0,JRASULOV
2001-10-04,28.62,JRASULOV
2001-10-05,33.12,JRASULOV
2001-10-06,29.62,JRASULOV
2001-10-07,15.88,JRASULOV
2001-10-08,23.06,JRASULOV
2001-10-09,54.62,JRASULOV
2001-10-10,42.75,JRASULOV
2001-10-11,25.94,JRASULOV
2001-10-12,9.0,JRASULOV
2001-10-13,8.56,JRASULOV
2001-10-14,10.0,JRASULOV
2001-10-15,30.25,JRASULOV
2001-10-16,24.12,JRASULOV
2001-10-17,58.56,JRASULOV
2001-10-18,50.81,JRASULOV
2001-10-19,38.81,JRASULOV
2001-10-20,65.38,JRASULOV
2001-10-21,59.62,JRASULOV
2001-10-22,39.56,JRASULOV
2001-10-23,62.69,JRASULOV
2001-10-24,66.44,JRASULOV
2001-10-25,34.0,JRASULOV
2001-10-26,36.69,JRASULOV
2001-10-27,71.06,JRASULOV
2001-10-28,69.25,JRASULOV
2001-10-29,54.06,JRASULOV
2001-10-30,69.19,JRASULOV
2001-10-31,65.44,JRASULOV
2001-11-01,71.88,JRASULOV
2001-11-02,89.06,JRASULOV
2001-11-03,73.38,JRASULOV
2001-11-04,49.56,JRASULOV
2001-11-05,42.81,JRASULOV
2001-11-06,42.12,JRASULOV
2001-11-07,36.81,JRASULOV
2001-11-08,41.94,JRASULOV
2001-11-09,70.38,JRASULOV
2001-11-10,78.5,JRASULOV
2001-11-11,54.69,JRASULOV
2001-11-12,41.81,JRASULOV
2001-11-13,39.62,JRASULOV
2001-11-14,41.69,JRASULOV
2001-11-15,65.88,JRASULOV
2001-11-16,46.06,JRASULOV
2001-11-17,36.5,JRASULOV
2001-11-18,32.12,JRASULOV
2001-11-19,28.44,JRASULOV
2001-11-20,82.25,JRASULOV
2001-11-21,55.88,JRASULOV
2001-11-22,43.88,JRASULOV
2001-11-23,34.81,JRASULOV
2001-11-24,49.12,JRASULOV
2001-11-25,55.19,JRASULOV
2001-11-26,54.5,JRASULOV
2001-11-27,58.44,JRASULOV
2001-11-28,61.38,JRASULOV
2001-11-29,72.38,JRASULOV
2001-11-30,61.25,JRASULOV
2001-12-01,72.62,JRASULOV
2001-12-02,69.06,JRASULOV
2001-12-03,65.38,JRASULOV
2001-12-04,53.75,JRASULOV
2001-12-05,42.31,JRASULOV
2001-12-06,67.38,JRASULOV
2001-12-07,79.94,JRASULOV
2001-12-08,75.12,JRASULOV
2001-12-09,74.25,JRASULOV
2001-12-10,67.19,JRASULOV
2001-12-11,44.25,JRASULOV
2001-12-12,42.0,JRASULOV
2001-12-13,74.44,JRASULOV
2001-12-14,65.0,JRASULOV
2001-12-15,42.19,JRASULOV
2001-12-16,50.12,JRASULOV
2001-12-17,61.69,JRASULOV
2001-12-18,66.25,JRASULOV
2001-12-19,39.25,JRASULOV
2001-12-20,33.5,JRASULOV
2001-12-21,60.56,JRASULOV
2001-12-22,90.06,JRASULOV
2001-12-23,62.94,JRASULOV
2001-12-24,48.44,JRASULOV
2001-12-25,48.81,JRASULOV
2001-12-26,44.31,JRASULOV
2001-12-27,43.56,JRASULOV
2001-12-28,48.75,JRASULOV
2001-12-29,50.25,JRASULOV
2001-12-30,46.44,JRASULOV
2001-12-31,63.94,JRASULOV
2002-01-01,55.12,JRASULOV
2002-01-02,47.31,JRASULOV
2002-01-03,44.69,JRASULOV
2002-01-04,45.5,JRASULOV
2002-01-05,54.62,JRASULOV
2002-01-06,50.94,JRASULOV
2002-01-07,45.25,JRASULOV
2002-01-08,33.0,JRASULOV
2002-01-09,65.38,JRASULOV
2002-01-10,82.94,JRASULOV
2002-01-11,76.0,JRASULOV
2002-01-12,90.0,JRASULOV
2002-01-13,92.06,JRASULOV
2002-01-14,74.38,JRASULOV
2002-01-15,74.56,JRASULOV
2002-01-16,67.94,JRASULOV
2002-01-17,70.31,JRASULOV
2002-01-18,67.06,JRASULOV
2002-01-19,46.06,JRASULOV
2002-01-20,45.69,JRASULOV
2002-01-21,46.69,JRASULOV
2002-01-22,44.88,JRASULOV
2002-01-23,53.62,JRASULOV
2002-01-24,51.0,JRASULOV
2002-01-25,79.19,JRASULOV
2002-01-26,59.75,JRASULOV
2002-01-27,50.06,JRASULOV
2002-01-28,41.38,JRASULOV
2002-01-29,33.69,JRASULOV
2002-01-30,36.25,JRASULOV
2002-01-31,57.19,JRASULOV
2002-02-01,84.19,JRASULOV
2002-02-02,77.12,JRASULOV
2002-02-03,56.5,JRASULOV
2002-02-04,80.88,JRASULOV
2002-02-05,77.88,JRASULOV
2002-02-06,71.19,JRASULOV
2002-02-07,75.19,JRASULOV
2002-02-08,54.94,JRASULOV
2002-02-09,41.5,JRASULOV
2002-02-10,35.88,JRASULOV
2002-02-11,53.0,JRASULOV
2002-02-12,63.62,JRASULOV
2002-02-13,41.69,JRASULOV
2002-02-14,48.62,JRASULOV
