Date,Relative Humidity (%),Temperature (C),Solar Radiation (kWh/m²),Wind Speed (m/s),Precipitation (mm),District
20000122,44.81,7.77,10.85,3.95,0.03,ISTARAVSHAN
20000122,46.25,6.58,10.83,3.41,0.03,JRASULOV
20000122,46.12,7.1,10.83,3.3,0.48,KHUJAND
20000122,51.0,4.8,11.6,2.55,0.0,KULOB
20000123,67.88,4.31,9.45,2.34,1.12,BGAFUROV
20000123,52.94,8.67,8.83,2.06,0.13,BOKHTAR
20000123,67.19,4.43,8.58,2.16,0.45,DUSHANBE
20000123,71.44,4.3,10.62,2.54,1.14,ISTARAVSHAN
20000123,67.88,4.31,9.45,2.34,1.12,JRASULOV
20000123,74.75,5.17,9.45,2.83,2.34,KHUJAND
20000123,46.25,4.87,8.27,2.24,0.02,KULOB
20000124,70.5,2.43,6.96,2.41,0.97,BGAFUROV
20000124,73.0,5.6,5.17,1.2,0.29,BOKHTAR
20000124,77.81,2.23,4.26,1.15,0.19,DUSHANBE
20000124,71.56,2.33,6.6,2.34,0.96,ISTARAVSHAN
20000124,70.5,2.43,6.96,2.41,0.97,JRASULOV
20000124,76.75,3.26,6.96,2.16,2.16,KHUJAND
20000124,74.19,2.3,6.76,1.66,0.14,KULOB
20000125,76.19,-0.2,7.32,2.12,0.38,BGAFUROV
20000125,64.5,4.05,11.9,1.34,0.04,BOKHTAR
20000125,73.19,0.07,8.57,1.35,0.11,DUSHANBE
20000125,73.69,0.32,6.55,2.31,0.35,ISTARAVSHAN
20000125,76.19,-0.2,7.32,2.12,0.38,JRASULOV
20000125,75.25,0.86,7.32,2.07,0.25,KHUJAND
20000125,71.06,-0.98,9.27,2.2,0.1,KULOB
20000126,44.56,1.65,11.3,2.64,0.0,BGAFUROV
20000126,40.31,3.62,13.36,2.13,0.0,BOKHTAR
20000126,43.06,0.21,8.39,2.53,0.0,DUSHANBE
20000126,45.12,2.33,10.28,2.69,0.0,ISTARAVSHAN
20000126,44.56,1.65,11.3,2.64,0.0,JRASULOV
20000126,63.19,1.69,11.3,4.93,0.0,KHUJAND
20000126,41.38,-0.63,12.05,2.12,0.0,KULOB
20000127,30.88,3.45,11.7,3.62,0.0,BGAFUROV
20000127,24.81,4.99,13.65,2.59,0.0,BOKHTAR
20000127,27.56,1.26,9.69,2.78,0.0,DUSHANBE
20000127,28.94,4.95,10.8,4.06,0.0,ISTARAVSHAN
20000127,30.88,3.45,11.7,3.62,0.0,JRASULOV
20000127,41.12,3.88,11.7,4.8,0.0,KHUJAND
20000127,23.25,1.56,13.63,2.53,0.0,KULOB
20000128,35.38,6.61,11.16,3.44,0.0,BGAFUROV
20000128,29.69,6.98,12.87,3.21,0.0,BOKHTAR
20000128,33.06,3.56,8.38,3.04,0.0,DUSHANBE
20000128,34.31,7.94,11.53,3.92,0.0,ISTARAVSHAN
20000128,35.38,6.61,11.16,3.44,0.0,JRASULOV
20000128,35.12,6.31,11.16,6.3,0.0,KHUJAND
20000128,32.19,3.68,13.04,2.84,0.0,KULOB
20000129,54.0,7.68,5.84,2.34,0.07,BGAFUROV
20000129,45.5,10.0,7.57,3.8,0.0,BOKHTAR
20000129,59.56,5.25,5.75,2.86,0.01,DUSHANBE
20000129,56.75,8.7,6.33,2.85,0.07,ISTARAVSHAN
20000129,54.0,7.68,5.84,2.34,0.07,JRASULOV
20000129,61.81,7.52,5.84,3.37,0.15,KHUJAND
20000129,53.44,5.76,7.23,3.02,0.0,KULOB
20000130,78.38,3.2,2.65,2.12,2.77,BGAFUROV
20000130,70.12,7.97,5.01,2.54,2.35,BOKHTAR
20000130,86.0,3.47,4.33,2.25,1.92,DUSHANBE
20000130,82.62,3.27,5.62,2.34,2.71,ISTARAVSHAN
20000130,78.38,3.2,2.65,2.12,2.77,JRASULOV
20000130,94.06,2.75,2.65,2.73,6.15,KHUJAND
20000130,71.69,4.39,4.65,2.38,1.51,KULOB
20000131,86.44,-1.98,2.77,2.99,4.59,BGAFUROV
20000131,83.12,-0.54,1.88,2.66,9.88,BOKHTAR
20000131,84.62,-2.55,2.16,2.48,7.37,DUSHANBE
20000131,87.75,-1.5,3.08,2.97,4.33,ISTARAVSHAN
20000131,86.44,-1.98,2.77,2.99,4.59,JRASULOV
20000131,90.56,-2.11,2.77,3.27,8.65,KHUJAND
20000131,83.94,-3.46,3.38,3.03,8.83,KULOB
20000201,60.75,-0.11,9.15,2.33,0.47,BGAFUROV
20000201,66.19,0.66,7.66,1.58,0.04,BOKHTAR
20000201,61.94,-1.54,9.02,2.01,0.18,DUSHANBE
20000201,64.12,-0.13,8.48,2.44,0.5,ISTARAVSHAN
20000201,60.75,-0.11,9.15,2.33,0.47,JRASULOV
20000201,75.56,-0.29,9.15,3.27,0.33,KHUJAND
20000201,60.0,-2.63,8.12,1.88,0.06,KULOB
20000202,41.0,2.87,8.14,3.11,0.0,BGAFUROV
20000202,42.25,4.47,7.64,1.98,0.0,BOKHTAR
20000202,38.56,1.47,9.68,2.29,0.0,DUSHANBE
20000202,40.44,3.92,9.87,3.16,0.0,ISTARAVSHAN
20000202,41.0,2.87,8.14,3.11,0.0,JRASULOV
20000202,55.06,2.27,8.14,3.38,0.0,KHUJAND
20000202,38.19,0.52,11.6,2.59,0.0,KULOB
20000203,69.56,0.05,5.06,2.66,0.01,BGAFUROV
20000203,67.38,3.47,7.52,2.34,0.0,BOKHTAR
20000203,72.31,-0.17,8.54,1.95,0.01,DUSHANBE
20000203,67.94,1.01,7.59,2.45,0.01,ISTARAVSHAN
20000203,69.56,0.05,5.06,2.66,0.01,JRASULOV
20000203,75.31,0.8,5.06,2.13,0.02,KHUJAND
20000203,64.31,0.3,8.23,2.09,0.01,KULOB
20000204,62.56,1.01,11.97,2.29,0.01,BGAFUROV
20000204,75.38,2.51,12.86,1.57,0.0,BOKHTAR
20000204,64.75,0.21,10.51,1.8,0.01,DUSHANBE
20000204,66.44,1.14,12.79,2.23,0.01,ISTARAVSHAN
20000204,62.56,1.01,11.97,2.29,0.01,JRASULOV
20000204,72.44,0.86,11.97,2.82,0.01,KHUJAND
20000204,68.19,-0.89,8.99,1.73,0.02,KULOB
20000205,39.31,3.82,12.8,2.67,0.0,BGAFUROV
20000205,51.69,4.68,14.58,1.53,0.0,BOKHTAR
20000205,40.12,2.06,11.53,1.88,0.0,DUSHANBE
20000205,44.0,3.75,13.58,2.9,0.0,ISTARAVSHAN
20000205,39.31,3.82,12.8,2.67,0.0,JRASULOV
20000205,53.0,3.62,12.8,3.44,0.0,KHUJAND
20000205,43.75,0.83,14.69,2.09,0.0,KULOB
20000206,39.75,5.23,12.24,2.98,0.0,BGAFUROV
20000206,38.0,6.17,14.44,1.66,0.0,BOKHTAR
20000206,33.81,2.96,11.46,1.92,0.0,DUSHANBE
20000206,43.56,5.57,13.49,3.37,0.0,ISTARAVSHAN
20000206,39.75,5.23,12.24,2.98,0.0,JRASULOV
20000206,47.12,6.09,12.24,1.51,0.0,KHUJAND
20000206,34.62,2.14,14.62,2.11,0.0,KULOB
20000207,36.81,6.22,13.09,3.05,0.0,BGAFUROV
20000207,33.94,8.18,14.78,2.21,0.0,BOKHTAR
20000207,31.38,4.67,12.11,2.41,0.0,DUSHANBE
20000207,38.62,6.49,13.13,3.3,0.0,ISTARAVSHAN
20000207,36.81,6.22,13.09,3.05,0.0,JRASULOV
20000207,47.31,6.55,13.09,3.31,0.0,KHUJAND
20000207,30.81,4.38,14.85,2.78,0.0,KULOB
20000208,50.69,6.05,11.69,3.52,0.01,BGAFUROV
20000208,44.81,8.5,14.67,2.82,0.4,BOKHTAR
20000208,43.75,5.01,12.2,2.68,0.51,DUSHANBE
20000208,53.12,6.33,12.19,3.6,0.01,ISTARAVSHAN
20000208,50.69,6.05,11.69,3.52,0.01,JRASULOV
20000208,53.25,6.51,11.69,2.77,0.07,KHUJAND
20000208,43.81,4.73,14.97,2.89,0.14,KULOB
20000209,89.38,-3.17,5.71,4.31,3.16,BGAFUROV
20000209,81.75,-0.57,5.04,2.52,4.55,BOKHTAR
20000209,84.88,-3.35,5.88,2.45,5.28,DUSHANBE
20000209,89.75,-2.44,7.66,4.15,3.24,ISTARAVSHAN
20000209,89.38,-3.17,5.71,4.31,3.16,JRASULOV
20000209,88.12,-1.74,5.71,4.61,4.72,KHUJAND
20000209,85.19,-4.45,4.09,2.82,3.95,KULOB
20000210,72.31,-3.89,11.0,1.84,0.09,BGAFUROV
20000210,71.56,-0.95,6.34,1.35,0.0,BOKHTAR
20000210,70.75,-4.06,6.91,1.38,0.01,DUSHANBE
20000210,73.19,-3.2,11.9,2.16,0.07,ISTARAVSHAN
20000210,72.31,-3.89,11.0,1.84,0.09,JRASULOV
20000210,69.75,-1.77,11.0,2.23,0.07,KHUJAND
20000210,77.44,-5.44,6.1,1.66,0.01,KULOB
20000211,58.44,-2.53,14.0,1.9,0.0,BGAFUROV
20000211,62.0,-0.56,9.62,1.47,0.0,BOKHTAR
20000211,59.25,-3.23,10.3,1.7,0.0,DUSHANBE
20000211,58.94,-1.81,13.43,2.05,0.0,ISTARAVSHAN
20000211,58.44,-2.53,14.0,1.9,0.0,JRASULOV
20000211,59.0,-0.98,14.0,2.04,0.0,KHUJAND
20000211,68.62,-5.09,12.1,1.82,0.0,KULOB
20000212,42.5,0.14,14.61,2.03,0.0,BGAFUROV
20000212,52.0,0.5,13.95,1.23,0.0,BOKHTAR
20000212,46.12,-1.7,12.74,1.59,0.0,DUSHANBE
20000212,44.81,0.32,14.78,2.05,0.0,ISTARAVSHAN
20000212,42.5,0.14,14.61,2.03,0.0,JRASULOV
20000212,57.62,-0.87,14.61,4.26,0.0,KHUJAND
20000212,49.69,-3.2,14.13,1.72,0.0,KULOB
20000213,32.56,3.01,14.53,2.2,0.0,BGAFUROV
20000213,35.75,3.81,15.66,1.62,0.0,BOKHTAR
20000213,33.62,1.04,13.83,2.02,0.0,DUSHANBE
20000213,37.88,3.15,15.98,2.52,0.0,ISTARAVSHAN
20000213,32.56,3.01,14.53,2.2,0.0,JRASULOV
20000213,46.62,2.15,14.53,3.16,0.0,KHUJAND
20000213,33.88,0.32,15.79,2.09,0.0,KULOB
20000214,31.44,7.26,13.05,2.54,0.06,BGAFUROV
20000214,34.69,6.58,12.44,3.11,0.01,BOKHTAR
20000214,33.75,3.39,12.65,2.91,0.04,DUSHANBE
20000214,35.25,6.8,12.88,2.74,0.06,ISTARAVSHAN
20000214,31.44,7.26,13.05,2.54,0.06,JRASULOV
20000214,40.75,5.55,13.05,5.51,0.13,KHUJAND
20000214,30.69,4.12,14.21,2.57,0.0,KULOB
20000215,80.62,0.16,4.84,3.23,2.63,BGAFUROV
20000215,78.44,2.88,4.6,2.26,0.71,BOKHTAR
20000215,82.44,0.2,6.0,2.15,1.47,DUSHANBE
20000215,83.75,0.39,7.59,2.8,2.66,ISTARAVSHAN
20000215,80.62,0.16,4.84,3.23,2.63,JRASULOV
20000215,83.56,1.16,4.84,3.31,5.95,KHUJAND
20000215,76.12,0.06,5.88,2.84,0.38,KULOB
20000216,74.5,-2.32,11.09,2.54,2.15,BGAFUROV
20000216,72.31,1.83,9.01,1.41,0.43,BOKHTAR
20000216,75.94,-1.69,8.54,1.76,0.99,DUSHANBE
20000216,76.5,-1.92,13.16,2.73,2.26,ISTARAVSHAN
20000216,74.5,-2.32,11.09,2.54,2.15,JRASULOV
20000216,72.12,-0.97,11.09,2.93,1.15,KHUJAND
20000216,79.44,-2.78,8.53,1.75,0.57,KULOB
20000217,47.12,0.44,14.64,2.46,0.0,BGAFUROV
20000217,52.19,3.3,16.9,1.44,0.0,BOKHTAR
20000217,51.69,-0.31,12.3,1.84,0.0,DUSHANBE
20000217,50.06,0.68,15.01,2.41,0.0,ISTARAVSHAN
20000217,47.12,0.44,14.64,2.46,0.0,JRASULOV
20000217,55.06,1.17,14.64,2.14,0.0,KHUJAND
20000217,57.19,-1.63,15.96,1.63,0.0,KULOB
20000218,40.44,1.97,15.79,2.78,0.0,BGAFUROV
20000218,35.12,5.06,17.67,1.83,0.0,BOKHTAR
20000218,36.88,1.23,13.68,2.23,0.0,DUSHANBE
20000218,45.19,2.21,16.05,2.86,0.0,ISTARAVSHAN
20000218,40.44,1.97,15.79,2.78,0.0,JRASULOV
20000218,49.31,3.17,15.79,1.63,0.0,KHUJAND
20000218,36.94,-0.08,17.0,2.44,0.0,KULOB
20000219,48.44,1.44,15.52,3.05,0.0,BGAFUROV
20000219,32.44,5.86,17.11,1.8,0.0,BOKHTAR
20000219,34.31,2.26,13.63,2.0,0.0,DUSHANBE
20000219,50.31,1.8,16.28,2.9,0.0,ISTARAVSHAN
20000219,48.44,1.44,15.52,3.05,0.0,JRASULOV
20000219,57.81,2.04,15.52,2.47,0.0,KHUJAND
20000219,38.38,0.93,17.0,2.45,0.0,KULOB
20000220,54.5,-0.63,15.72,3.55,0.0,BGAFUROV
20000220,37.31,5.61,17.12,1.7,0.0,BOKHTAR
20000220,38.56,2.16,13.98,2.01,0.0,DUSHANBE
20000220,55.88,-0.22,15.09,3.02,0.0,ISTARAVSHAN
20000220,54.5,-0.63,15.72,3.55,0.0,JRASULOV
20000220,66.38,-0.95,15.72,3.35,0.0,KHUJAND
20000220,38.94,1.15,17.25,1.88,0.0,KULOB
20000221,36.12,1.97,16.13,2.43,0.0,BGAFUROV
20000221,32.56,6.55,18.14,1.82,0.0,BOKHTAR
20000221,32.88,2.78,14.87,2.09,0.0,DUSHANBE
20000221,41.94,1.55,16.52,2.73,0.0,ISTARAVSHAN
20000221,36.12,1.97,16.13,2.43,0.0,JRASULOV
20000221,47.12,0.71,16.13,3.52,0.0,KHUJAND
20000221,31.19,1.77,17.07,1.99,0.0,KULOB
20000222,30.5,4.4,17.12,3.09,0.0,BGAFUROV
20000222,32.06,7.45,16.08,2.27,0.0,BOKHTAR
20000222,28.5,3.84,14.85,2.02,0.0,DUSHANBE
20000222,33.56,4.4,16.44,3.66,0.0,ISTARAVSHAN
20000222,30.5,4.4,17.12,3.09,0.0,JRASULOV
20000222,36.19,4.07,17.12,3.77,0.0,KHUJAND
20000222,31.44,2.9,17.17,1.87,0.0,KULOB
20000223,35.19,5.55,17.1,2.92,0.0,BGAFUROV
20000223,37.31,9.23,18.16,1.39,0.0,BOKHTAR
20000223,37.31,5.29,15.46,1.73,0.0,DUSHANBE
20000223,37.19,5.83,16.67,3.0,0.0,ISTARAVSHAN
20000223,35.19,5.55,17.1,2.92,0.0,JRASULOV
20000223,35.56,6.25,17.1,2.35,0.0,KHUJAND
20000223,41.0,3.37,17.79,1.35,0.0,KULOB
20000224,37.62,6.18,17.1,3.08,0.0,BGAFUROV
20000224,36.62,8.84,18.2,1.94,0.0,BOKHTAR
20000224,39.62,4.76,14.99,2.52,0.0,DUSHANBE
20000224,38.38,7.08,17.42,3.28,0.0,ISTARAVSHAN
20000224,37.62,6.18,17.1,3.08,0.0,JRASULOV
20000224,40.31,6.29,17.1,3.91,0.0,KHUJAND
20000224,36.88,3.55,18.62,2.43,0.0,KULOB
20000225,33.44,7.61,17.11,2.97,0.0,BGAFUROV
20000225,30.62,8.95,18.28,1.97,0.0,BOKHTAR
20000225,33.38,5.1,15.45,2.52,0.0,DUSHANBE
20000225,34.56,8.27,17.23,3.55,0.0,ISTARAVSHAN
20000225,33.44,7.61,17.11,2.97,0.0,JRASULOV
20000225,40.12,7.25,17.11,3.25,0.0,KHUJAND
20000225,29.62,3.9,18.88,2.27,0.0,KULOB
20000226,31.25,8.91,16.42,2.84,0.0,BGAFUROV
20000226,34.81,8.44,17.75,2.36,0.74,BOKHTAR
20000226,37.12,4.93,15.61,2.4,0.53,DUSHANBE
20000226,31.06,10.46,17.51,2.74,0.0,ISTARAVSHAN
20000226,31.25,8.91,16.42,2.84,0.0,JRASULOV
20000226,37.38,8.24,16.42,6.18,0.01,KHUJAND
20000226,33.12,4.4,18.34,2.88,0.22,KULOB
20000227,73.75,1.44,5.75,2.87,0.72,BGAFUROV
20000227,82.25,2.94,8.04,2.12,5.25,BOKHTAR
20000227,83.06,-0.07,7.12,2.28,4.75,DUSHANBE
20000227,75.06,2.56,9.59,3.41,0.7,ISTARAVSHAN
20000227,73.75,1.44,5.75,2.87,0.72,JRASULOV
20000227,77.94,2.48,5.75,3.79,1.03,KHUJAND
20000227,80.12,-0.16,4.83,2.88,5.21,KULOB
20000228,48.31,4.2,11.82,3.05,0.08,BGAFUROV
20000228,58.69,6.01,13.75,2.62,0.08,BOKHTAR
20000228,58.69,2.44,13.25,2.52,0.04,DUSHANBE
20000228,52.06,4.33,14.08,3.64,0.08,ISTARAVSHAN
20000228,48.31,4.2,11.82,3.05,0.08,JRASULOV
20000228,56.69,4.99,11.82,2.99,0.04,KHUJAND
20000228,53.12,3.35,13.95,2.34,0.04,KULOB
20000229,64.88,1.59,9.87,3.45,0.32,BGAFUROV
20000229,70.88,5.71,10.14,2.06,1.26,BOKHTAR
20000229,76.69,2.29,10.2,1.91,1.32,DUSHANBE
20000229,62.94,2.42,10.99,3.53,0.33,ISTARAVSHAN
20000229,64.88,1.59,9.87,3.45,0.32,JRASULOV
20000229,62.94,2.97,9.87,3.63,0.14,KHUJAND
20000229,78.12,0.9,6.23,3.21,1.19,KULOB
20000301,53.44,0.26,17.69,2.59,0.0,BGAFUROV
20000301,50.56,4.95,18.98,1.16,0.0,BOKHTAR
20000301,61.5,1.08,13.47,1.84,0.0,DUSHANBE
20000301,57.38,0.3,15.25,2.55,0.0,ISTARAVSHAN
20000301,53.44,0.26,17.69,2.59,0.0,JRASULOV
20000301,55.56,1.7,17.69,1.96,0.0,KHUJAND
20000301,61.44,-0.34,15.73,1.64,0.01,KULOB
20000302,47.31,1.55,18.5,3.25,0.0,BGAFUROV
20000302,46.81,4.7,12.16,1.83,0.0,BOKHTAR
20000302,49.56,0.89,15.6,2.02,0.0,DUSHANBE
20000302,51.5,1.27,17.56,2.91,0.0,ISTARAVSHAN
20000302,47.31,1.55,18.5,3.25,0.0,JRASULOV
20000302,57.31,1.8,18.5,1.78,0.0,KHUJAND
20000302,46.81,-0.09,14.71,1.89,0.0,KULOB
